root	mode	group	vs_2026_09_17	first_line
testdir:escape_iface_data.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_indir.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_level.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_make_non_const.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_map.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_mutations.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_param.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_reflect.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_runtime_atomic.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_selfassign.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_slice.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_struct_param1.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_struct_param2.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_struct_return.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_sync_atomic.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_unique.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
